id,case_id,tag_id
30184,504,58
34208,792,55
34315,71,32
34318,71,20
34852,284,2
34853,284,9
34854,284,42
30383,322,10
31913,980,64
31914,980,65
30939,599,55
30940,599,27
31915,980,19
31916,980,23
31917,980,55
34968,561,2
34969,561,38
30422,223,32
31031,628,24
31033,628,4
34970,561,55
33006,919,32
34971,561,58
34972,561,28
30423,223,64
30424,223,2
30425,223,65
33009,919,40
33010,919,18
33011,919,56
33142,297,24
30426,223,9
30427,223,50
30428,223,28
32013,940,18
30457,83,2
30458,83,18
29492,1095,56
29493,1095,10
29494,1095,19
29495,1095,18
29564,1082,2
29565,1082,4
29566,1082,55
29635,312,2
29636,312,9
29705,233,8
29706,233,64
29707,233,42
29708,233,55
32015,940,30
35069,442,38
35070,442,46
30498,27,2
35071,442,18
35072,442,19
35073,442,58
32075,763,56
32076,763,18
29825,447,18
29826,447,19
30499,27,65
30500,27,9
30501,27,42
28852,244,56
28853,244,18
28854,244,19
28856,244,23
28914,57,24
28916,57,2
30830,583,32
30832,583,19
30833,583,43
30834,583,55
34438,1109,18
34439,1109,19
34440,1109,23
10319,976,9
32710,918,2
32711,918,3
32817,455,13
32818,455,46
34541,947,64
31035,629,40
34542,947,18
31807,745,18
31808,745,19
31036,629,12
31809,745,24
31810,745,28
32820,455,58
34544,947,46
31871,963,2
31872,963,43
31037,629,56
29184,1133,9
29185,1133,2
31038,629,27
34666,1143,56
34667,1143,3
33012,1035,40
33014,1035,19
34766,968,24
34768,968,28
31115,648,10
31116,648,27
31117,648,18
29186,1133,42
34856,283,32
34857,283,64
34858,283,18
34859,283,19
29187,1133,13
34860,283,23
34973,567,64
34975,567,42
34976,567,23
31918,979,24
31920,979,2
31956,953,32
29337,1112,56
31958,953,3
31959,953,46
29415,1103,2
29416,1103,43
31408,1013,19
33899,847,64
33901,847,28
33902,847,65
31985,946,18
31460,1006,18
31461,1006,23
31462,1006,39
31510,992,2
31512,992,46
33999,782,18
34001,782,23
31563,690,2
31564,690,59
31565,690,55
31615,934,3
31616,934,4
31617,934,38
31986,946,23
31987,946,55
31618,934,40
31619,934,46
29710,477,56
29711,477,10
29712,477,18
34209,801,64
34211,801,18
34212,801,19
34213,801,23
23537,1034,18
23538,1034,3
23539,1034,12
29759,495,32
29761,495,2
29762,495,65
29763,495,19
29764,495,55
29765,495,28
29827,496,56
29829,496,19
29830,496,30
31621,934,58
30835,584,32
30837,584,2
30838,584,23
30839,584,65
31735,725,32
31736,725,65
34442,111,2
31737,725,2
34444,111,65
33682,917,39
32822,489,2
32823,489,65
32824,489,9
32825,489,10
32826,489,50
33683,917,12
32910,109,64
32912,109,43
33015,1094,40
33017,1094,18
33019,1094,56
33684,917,13
33685,917,46
33687,917,23
33230,1022,23
33231,1022,18
33232,1022,55
33233,1022,56
34545,943,24
34547,943,65
34670,635,32
34672,635,18
30026,66,4
29188,1132,32
34673,635,19
29189,1132,40
29190,1132,19
30946,602,2
30947,602,9
30948,602,18
30949,602,19
30950,602,55
30951,602,28
34769,1007,64
34770,1007,18
34771,1007,19
34773,1007,55
